name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,brand,average_brand_price,predicted_price
Ford Figo 1.5D Titanium MT,2016,500000,143200,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,Ford,516682.58186397987,484599.99
Jeep Compass 2.0 Longitude Option BSIV,2017,1689999,60000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170.0,5.0,Jeep,2149612.870967742,1658183.3333333335
Nissan Micra Diesel XV Premium,2012,204999,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0,Nissan,465407.35802469135,264069.91
Maruti Ciaz VDi Plus,2014,459999,145000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,5.0,Maruti,403075.7214052288,482949.32
Hyundai i20 2015-2017 Magna 1.2,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai,458554.3667844523,597544.2857142858
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,585000,8000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,Hyundai,458554.3667844523,582580.0
Ford Endeavour 2.5L 4X2 MT,2012,551000,170000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,Ford,516682.58186397987,577050.0
Maruti Swift Dzire LDI,2013,525000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti,403075.7214052288,484190.9523809523
Maruti Omni 8 Seater BSIV,2012,160000,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti,403075.7214052288,156753.3333333333
Mahindra XUV500 W8 AWD,2014,825000,110000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra,623224.0556994819,803812.857142857
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,600000,80000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,Chevrolet,273867.47826086957,597649.99
Maruti Zen Base,2002,65000,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti,403075.7214052288,70230.0
Maruti Swift Dzire VDI,2013,550000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti,403075.7214052288,484190.9523809523
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,650000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,Mahindra,623224.0556994819,585754.0457142857
Maruti Swift Dzire VDI,2019,750000,24000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,Maruti,403075.7214052288,772700.7268333333
Mahindra KUV 100 mFALCON D75 K8,2017,380000,80000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,Mahindra,623224.0556994819,444053.31333333335
Hyundai Verna 1.6 SX CRDi (O),2012,400000,138000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5.0,Hyundai,458554.3667844523,424086.6383333333
Maruti Wagon R LXI,2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0,Maruti,403075.7214052288,62130.0
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,750000,60000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra,623224.0556994819,709437.0039682541
Chevrolet Spark 1.0 LS,2011,150000,80000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0,Chevrolet,273867.47826086957,149710.0
Maruti Alto 800 LXI,2016,245000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,251550.82270507273
Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,Tata,357433.1076294278,263520.0
Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,Volkswagen,498817.188172043,424249.99
Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai,458554.3667844523,445900.0
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW,4109916.6666666665,1267633.3333333333
Maruti Celerio VXI,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti,403075.7214052288,362476.6666666666
Mahindra XUV500 W8 4WD,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra,623224.0556994819,557950.0
BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW,4109916.6666666665,1336050.0
Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,Tata,357433.1076294278,263520.0
Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,Volkswagen,498817.188172043,424249.99
Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai,458554.3667844523,445900.0
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW,4109916.6666666665,1267633.3333333333
Maruti Celerio VXI,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti,403075.7214052288,362476.6666666666
Mahindra XUV500 W8 4WD,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra,623224.0556994819,557950.0
BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW,4109916.6666666665,1336050.0
Nissan Terrano XE 85 PS,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,Nissan,465407.35802469135,738550.0
Nissan Terrano XL 85 PS,2015,800000,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,Nissan,465407.35802469135,761049.99
Tata New Safari DICOR 2.2 EX 4x2,2011,350000,156000,Diesel,Individual,Manual,First Owner,11.57,2179.0,138.1,7.0,Tata,357433.1076294278,359099.91
Maruti Alto 800 LX,2013,200000,90000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,201450.0
Tata Indigo LS,2008,150000,60000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5.0,Tata,357433.1076294278,139440.0
Nissan Terrano XL 110 PS,2016,800000,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,Nissan,465407.35802469135,768182.5
Hyundai EON Era Plus Sports Edition,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,Hyundai,458554.3667844523,301548.3333333333
Tata New Safari DICOR 2.2 VX 4x2,2011,350000,160000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7.0,Tata,357433.1076294278,367009.99
Mahindra Scorpio 2.6 Turbo 9 Str,2006,250000,185000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,9.0,Mahindra,623224.0556994819,322599.98
Tata Indica Vista Terra 1.4 TDI,2010,170000,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5.0,Tata,357433.1076294278,158750.0
Renault KWID RXT Optional,2018,395000,10800,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,Renault,462618.38157894736,368175.0
Mahindra Bolero 2011-2019 SLE,2012,450000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra,623224.0556994819,434636.8253968254
Maruti Ignis 1.2 Delta BSIV,2019,500000,15000,Petrol,Individual,Manual,First Owner,20.89,1197.0,81.8,5.0,Maruti,403075.7214052288,520259.96
Tata Sumo EX 10/7 Str BSIII,2012,200000,67500,Diesel,Individual,Manual,First Owner,12.2,1948.0,68.0,10.0,Tata,357433.1076294278,241231.64666666664
Tata Hexa XM,2017,1200000,30000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7.0,Tata,357433.1076294278,1278590.0
Mahindra KUV 100 mFALCON D75 K8,2016,400000,50000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,Mahindra,623224.0556994819,387470.0
Mahindra TUV 300 T8,2016,650000,100000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra,623224.0556994819,625874.78
Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,150000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,Mahindra,623224.0556994819,556749.87
Mahindra XUV500 W10 2WD,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,Mahindra,623224.0556994819,1062970.0
Maruti Alto 800 LXI,2012,254999,30000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,206786.64666666667
Maruti Alto LXi,2011,180000,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,Maruti,403075.7214052288,182400.0
Mahindra Xylo D2,2010,160000,255000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,Mahindra,623224.0556994819,194999.99
Chevrolet Optra Magnum 2.0 LT BS3,2008,225000,120000,Diesel,Individual,Manual,Second Owner,16.52,1991.0,123.7,5.0,Chevrolet,273867.47826086957,209699.82
Maruti Alto 800 LXI,2015,270000,49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,260800.0
Tata Manza Aura Quadrajet BS IV,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,Tata,357433.1076294278,299729.99
Datsun GO T BSIV,2015,225000,71850,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun,314599.95384615386,256130.0
Fiat Grande Punto EVO 1.3 Dynamic,2015,300000,95000,Diesel,Individual,Manual,Third Owner,21.2,1248.0,75.0,5.0,Fiat,296063.78723404254,381293.3233333333
Maruti Swift Dzire VXi,2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298.0,85.8,5.0,Maruti,403075.7214052288,234449.98
Hyundai EON Sportz,2011,180000,35000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,Hyundai,458554.3667844523,181820.0
Maruti Swift Dzire VXI,2015,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti,403075.7214052288,543919.94
Mahindra Bolero XL 10 Seater Non AC,2007,300000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,Mahindra,623224.0556994819,257700.0
Hyundai Elantra CRDi SX,2015,900000,145000,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5.0,Hyundai,458554.3667844523,849749.89
Mahindra XUV500 W9 2WD,2018,1530000,40000,Diesel,Individual,Manual,First Owner,16.0,2179.0,138.0,7.0,Mahindra,623224.0556994819,1432420.0
Maruti Baleno Delta 1.3,2015,590000,110000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,Maruti,403075.7214052288,571140.0
Maruti Wagon R LXI DUO BSIII,2008,170000,112000,LPG,Individual,Manual,Second Owner,17.3,1061.0,57.5,5.0,Maruti,403075.7214052288,153479.99
Audi A3 35 TDI Premium Plus,2017,2600000,70000,Diesel,Individual,Automatic,First Owner,20.38,1968.0,143.0,5.0,Audi,2612199.925,2416963.3266666667
Maruti Ritz VDi,2016,475000,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,Maruti,403075.7214052288,451849.84
Hyundai Grand i10 1.2 CRDi Asta,2018,700000,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,Hyundai,458554.3667844523,612695.0
Maruti Wagon R VXI BS IV,2011,376000,60000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,Maruti,403075.7214052288,330279.99
Maruti 800 Std BSII,2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4.0,Maruti,403075.7214052288,65860.0
Mahindra Scorpio VLS AT 2.2 mHAWK,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179.0,120.0,8.0,Mahindra,623224.0556994819,473799.99
Maruti Wagon R VXI Optional,2016,390000,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti,403075.7214052288,366893.3333333334
Toyota Innova 2.5 VX 7 STR,2012,725000,159000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7.0,Toyota,959946.6741803279,720660.0
Mahindra Bolero 2011-2019 SLE,2012,325000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,Mahindra,623224.0556994819,346852.77777777775
Maruti Alto LXi,2010,170000,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti,403075.7214052288,164043.33
Maruti Swift Dzire LDi,2010,215000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,Maruti,403075.7214052288,236294.1666666667
Honda City 1.5 V Inspire,2010,350000,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,Honda,596178.0149892934,334150.0
Chevrolet Spark 1.0 LS,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5.0,Chevrolet,273867.47826086957,96916.64333333334
Hyundai EON Magna Plus,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,Hyundai,458554.3667844523,194080.0
Nissan Sunny Diesel XL,2014,335000,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5.0,Nissan,465407.35802469135,353300.0
Mahindra XUV500 W6 2WD,2011,475000,108000,Diesel,Dealer,Manual,First Owner,16.0,2179.0,140.0,7.0,Mahindra,623224.0556994819,478500.0
Renault Duster 85PS Diesel RxL,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5.0,Renault,462618.38157894736,505379.35
Maruti Ciaz Delta BSIV,2018,650000,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5.0,Maruti,403075.7214052288,735488.97
Audi Q5 3.0 TDI Quattro,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,13.22,2967.0,241.4,5.0,Audi,2612199.925,2080750.0
Hyundai i20 1.2 Asta,2018,700000,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,Hyundai,458554.3667844523,664210.0
Audi Q7 3.0 TDI Quattro,2014,3000000,65000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi,2612199.925,2755000.0
Mahindra Scorpio S3 9 Seater BSIV,2018,900000,60000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7.0,Mahindra,623224.0556994819,882184.0
Volkswagen Polo Diesel Highline 1.2L,2013,350000,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5.0,Volkswagen,498817.188172043,346824.99999999994
Honda Accord V6 AT,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5.0,Honda,596178.0149892934,373000.0
Audi Q7 3.0 TDI Quattro Premium Plus,2012,1850000,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi,2612199.925,1779000.0
Maruti Vitara Brezza VDi,2017,750000,51777,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,766315.0
Land Rover Freelander 2 TD4 HSE,2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179.0,115.0,5.0,Land,3608333.3333333335,1249590.0
Honda Amaze V Petrol BSIV,2018,600000,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5.0,Honda,596178.0149892934,626490.0
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,565000,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5.0,Volkswagen,498817.188172043,593300.0
Daewoo Matiz SS,2000,86000,46951,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,Daewoo,77000.0,87690.0
Datsun GO T BSIV,2016,329000,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun,314599.95384615386,329723.3333333333
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,650000,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford,516682.58186397987,675463.3333333335
Hyundai Creta 1.6 CRDi SX Option,2015,822000,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,Hyundai,458554.3667844523,909220.0000000001
Renault Duster 110PS Diesel RxL,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault,462618.38157894736,405710.0
Maruti Zen LXI,2001,30000,10000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,Maruti,403075.7214052288,57465.0
Maruti Swift VDI,2012,330000,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti,403075.7214052288,358250.0
Maruti Wagon R Stingray VXI,2014,300000,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,Maruti,403075.7214052288,307260.0
Maruti SX4 ZXI AT,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5.0,Maruti,403075.7214052288,233529.99
Chevrolet Spark 1.0,2010,90000,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0,Chevrolet,273867.47826086957,98362.3765
Maruti Wagon R VXI Minor,2010,200000,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti,403075.7214052288,192580.0
Hyundai Xcent 1.1 CRDi SX,2016,550000,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5.0,Hyundai,458554.3667844523,521409.99
Chevrolet Beat LT,2015,250000,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,Chevrolet,273867.47826086957,277770.0
Honda City i-DTEC VX,2017,975000,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0,Honda,596178.0149892934,983485.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,900000,100000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,8.0,Toyota,959946.6741803279,909199.9
Hyundai i20 1.2 Spotz,2018,610000,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai,458554.3667844523,632063.3333333335
Maruti Baleno Zeta 1.3,2017,620000,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,Maruti,403075.7214052288,674520.0
Hyundai Grand i10 Sportz,2016,400000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,Hyundai,458554.3667844523,414470.8333333334
Maruti Celerio X ZXI BSIV,2019,500000,11000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5.0,Maruti,403075.7214052288,494100.0
Datsun GO Plus T,2017,200000,140000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,7.0,Datsun,314599.95384615386,262540.0
Tata Zest Quadrajet 1.3 XM,2016,360000,110000,Diesel,Individual,Manual,First Owner,23.0,1248.0,88.7,5.0,Tata,357433.1076294278,397700.0
Maruti Alto K10 2010-2014 VXI,2012,252000,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,Maruti,403075.7214052288,251794.82966666666
Maruti Swift VDI,2012,280000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti,403075.7214052288,370020.0
Maruti Swift VXI 2018,2018,509999,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5.0,Maruti,403075.7214052288,562982.7333333333
Mahindra Scorpio 1.99 S6 Plus,2016,1050000,58000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7.0,Mahindra,623224.0556994819,992354.99
Maruti Wagon R LXI DUO BSIII,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,5.0,Maruti,403075.7214052288,186114.991
Maruti Zen LXI,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti,403075.7214052288,72140.0
Mahindra Xylo E8 ABS Airbag,2010,320000,40000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7.0,Mahindra,623224.0556994819,304109.99
Mahindra Scorpio LX,2013,520000,110000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,Mahindra,623224.0556994819,510843.13333333336
Tata New Safari DICOR 2.2 LX 4x2,2007,250000,80000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7.0,Tata,357433.1076294278,249899.9
Maruti Vitara Brezza ZDi,2017,725000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,774449.0717142858
Mahindra Bolero 2011-2019 SLX,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra,623224.0556994819,578321.4285714286
Tata Tiago 1.2 Revotron XZ,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,Tata,357433.1076294278,435586.6666666666
Maruti Swift VDI,2011,235000,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti,403075.7214052288,277905.0
Maruti Swift Dzire VDi,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,Maruti,403075.7214052288,355650.0
Hyundai i10 Era 1.1,2010,131000,80000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5.0,Hyundai,458554.3667844523,185810.0
Honda Amaze VX i-DTEC,2016,450000,85000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,Honda,596178.0149892934,463619.97
Maruti Vitara Brezza ZDi Plus,2016,750000,83000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,744774.99
Maruti Alto 800 LXI,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,211643.33333333337
Maruti Wagon R LXI Minor,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5.0,Maruti,403075.7214052288,130569.88
Mahindra Bolero 2011-2019 SLE,2014,500000,100000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra,623224.0556994819,511499.95
Maruti Swift VDI,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,Maruti,403075.7214052288,380603.3333333334
Maruti Alto LXi,2008,128000,19000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,Maruti,403075.7214052288,121978.33333333334
Honda City 1.5 S MT,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,Honda,596178.0149892934,271650.0
Mahindra Bolero Power Plus SLX,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,Mahindra,623224.0556994819,687813.3333333335
Mahindra Bolero 2011-2019 SLX,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,Mahindra,623224.0556994819,610583.2133333333
Honda City E,2012,560000,40000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0,Honda,596178.0149892934,514503.31166666665
Maruti Celerio VXI,2016,400000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti,403075.7214052288,397894.94
Maruti Alto K10 LXI,2012,200000,29500,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,Maruti,403075.7214052288,248929.97666666665
Hyundai Verna VTVT 1.6 SX,2018,950000,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,458554.3667844523,988090.0
Maruti Alto 800 VXI,2016,300000,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,285901.61904761905
Renault KWID RXL,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25.17,799.0,53.3,5.0,Renault,462618.38157894736,280376.2685714286
Maruti Alto 800 LXI,2012,220000,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti,403075.7214052288,207986.66666666663
Chevrolet Aveo 1.4 LS,2011,130000,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5.0,Chevrolet,273867.47826086957,155449.99
Hyundai i20 Sportz Option 1.4 CRDi,2016,595000,60000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0,Hyundai,458554.3667844523,607968.3333333334
Tata Indica Vista TDI LS,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,Tata,357433.1076294278,184500.0
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,13500,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5.0,Ford,516682.58186397987,856370.0
Fiat Grande Punto Active (Diesel),2013,280000,52000,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0,Fiat,296063.78723404254,284897.49
Maruti Baleno Delta 1.2,2017,530000,30000,Petrol,Individual,Manual,Second Owner,21.4,1197.0,83.1,5.0,Maruti,403075.7214052288,541499.93
Hyundai Xcent 1.2 Kappa SX Option,2017,610000,14000,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5.0,Hyundai,458554.3667844523,591269.995
Tata Aria Pure LX 4x2,2014,500000,90000,Diesel,Individual,Manual,Second Owner,15.05,2179.0,147.9,7.0,Tata,357433.1076294278,523673.3333333334
Tata Tigor 1.05 Revotorq XM,2018,500000,50000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5.0,Tata,357433.1076294278,524400.0
Mahindra Xylo D2,2010,250000,120000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,Mahindra,623224.0556994819,251840.0
Hyundai EON Magna Plus,2018,325000,10000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,Hyundai,458554.3667844523,349992.5
Maruti Baleno Delta 1.2,2018,550000,10000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,403075.7214052288,593097.380952381
Maruti Ciaz 1.4 Alpha,2018,720000,25000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,5.0,Maruti,403075.7214052288,751217.8095238096
Hyundai Verna VTVT 1.6 SX,2017,950000,20000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,458554.3667844523,927857.5
Maruti Swift VDI,2013,350000,60000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,Maruti,403075.7214052288,367085.0
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,500000,40000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,Hyundai,458554.3667844523,506149.97
Maruti Swift Dzire VDi,2012,380000,60000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,Maruti,403075.7214052288,373023.33333333326
Hyundai Xcent 1.2 Kappa AT SX Option,2015,380000,50000,Petrol,Individual,Automatic,First Owner,16.9,1197.0,82.0,5.0,Hyundai,458554.3667844523,413966.6666666666
Hyundai Verna VTVT 1.6 SX,2017,900000,20000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,458554.3667844523,927857.5
